,"RMSE(GT,blurred)","RMSE(Res*K, blurred)","SSIM(GT,blurred)","SSIM(Res*K, blurred)"
32,0.14245147428919844,0.04976325187293036,0.34296089414694253,0.9522040461649725
33,0.0935515702797824,0.04160924934767086,0.7616376711938923,0.9821986803680071
34,0.08850109882356769,0.0558636534123976,0.6152445129410236,0.9409174212803866
35,0.0919335017653957,0.06022021627806075,0.6339502429972157,0.9563946665312802
36,0.08825313036068594,0.05995008354977571,0.5562501384115761,0.9298016842563801
37,0.12483014693388,0.044757964229025525,0.5850266414347864,0.9832289888094576
38,0.17380470120792244,0.060244351405118746,0.19610691554965845,0.9424474777698564
39,0.13276749929044074,0.046310114866237026,0.6284788011341287,0.9715165574640269
40,0.10881234689865411,0.05134537441083829,0.5336849587577006,0.9699661375984885
41,0.14758951455438177,0.049447071689042145,0.4265297639335979,0.9565834748944231
42,0.1778002750248088,0.06604371461789203,0.3310479072825269,0.9452256731013347
43,0.1116150124954105,0.051942760801567484,0.5670517302439093,0.9748807195871945
44,0.18473580336420406,0.051775663637893134,0.3622445206625286,0.9273299495096363
45,0.10710044083644124,0.06437475482064638,0.7250867917750901,0.9649429333662165
46,0.06648151597492354,0.03578252006239958,0.7565743810039595,0.8325177728527359
47,0.08701212747887546,0.057959345155033995,0.6932657276756917,0.9543743293401853
48,0.12482271349226713,0.0546229797681072,0.6233542541246159,0.9546122674641273
49,0.1277293619509712,0.048047821916777256,0.3685473811197917,0.9810865889437475
50,0.14686142360021096,0.0569012198234318,0.5652441892404448,0.9610877825737931
51,0.09873084873618578,0.04961942765227534,0.5955869369265899,0.9269136669134184
52,0.08895982206266595,0.050269328345009176,0.754639587629187,0.976750132485755
53,0.14116354032134007,0.05012945116742323,0.3586086941257822,0.9756031842486348
54,0.13850818818201702,0.04953489684901147,0.3854841312485083,0.9610435132421329
55,0.07243323783796007,0.05019332655594525,0.7729581578884135,0.9649659338979221
56,0.20301453638536185,0.057589196681386505,0.26526264993638515,0.9741742490250609
57,0.12268630064361938,0.0601057630780666,0.6652131464955346,0.9400358724742056
58,0.13494772612906092,0.03705758776199774,0.5682374296555326,0.986400293287462
59,0.07930544365742843,0.06182879207979734,0.7373216002549425,0.963032731955859
60,0.18656118907359795,0.06350068279123093,0.22904642456110397,0.952340749284063
61,0.1365200937868456,0.047477586703382896,0.5666952919935911,0.971283605438598
62,0.15384436631903603,0.04849594101443354,0.5965172405326882,0.9822808117566266
63,0.13458068766529563,0.04355026061581034,0.5324735183707875,0.9465327883808229
64,0.11957403909151054,0.051685996651826376,0.5083710510925517,0.960312102579321
65,0.17730265970085973,0.04857611006410877,0.5078662864033117,0.9826211423735525
66,0.16283734170360306,0.055783927099968475,0.498551022344654,0.9532106027303051
67,0.13166029573830557,0.05578814701315247,0.5730170617400643,0.9386829330090005
68,0.1318128206046977,0.05123608471187708,0.6573610421786581,0.9793687717130782
69,0.14263954865227163,0.05274194793680505,0.5723027788642168,0.9620893255026342
70,0.10072646379883904,0.04459066889899803,0.6214380596585074,0.9612648669403544
71,0.09915171122866093,0.06642667815282528,0.8177749853339686,0.9506025834601836
72,0.1589457052604673,0.06066014427779539,0.44772068126136955,0.9713530757457124
73,0.1315770714086266,0.058134748757500694,0.5625833366995775,0.9734783672069366
74,0.11833012045154348,0.04707610256835813,0.5547696771936859,0.9465627287490285
75,0.0849879608840381,0.06960456896659921,0.8323513163713183,0.9645416071928385
76,0.07583220264638378,0.04181175237722638,0.8122671739946609,0.9620559338779503
77,0.15129128122195834,0.0541666141222826,0.473909578490806,0.9749133712243362
78,0.12422462229515192,0.05950387226289663,0.5035064800655703,0.9428894349997409
79,0.1555711763251828,0.05851418738542479,0.3318180014629699,0.9456797390987912
80,0.07715792566700168,0.06144930617970408,0.8124506311540141,0.9394064239037347
81,0.1480825233786792,0.06055276334891195,0.41390295292143814,0.9666094638498375
82,0.18906448625081376,0.06964637840898498,0.265782313886461,0.9681131643317992
83,0.07691164191218307,0.05834891163406289,0.7076618429072705,0.966710117871475
84,0.14867351661888145,0.05074120655190884,0.5310805453576373,0.9736944029644997
85,0.13764484627274814,0.057309495598743314,0.593787273482345,0.9723209997651369
86,0.1169046042908716,0.0556206102656223,0.5836194546080321,0.9566270358847331
87,0.12145523212110898,0.047819225401398206,0.5719437761928349,0.9838549590808214
88,0.13904821956906724,0.04321794047990142,0.5749075930282874,0.9795991139426652
89,0.0999425672350678,0.045347409543476595,0.6762352049179831,0.9514575369283391
90,0.13509449184027833,0.06488422971321943,0.6061265081147791,0.92720541408904
91,0.1807558899402663,0.048419878016217284,0.34913250895719256,0.9326715915083377
92,0.08259264954968797,0.048062747008606924,0.7057790051512264,0.9242789621831358
93,0.12397383275036457,0.05736739595347302,0.6315656594582149,0.963804252953279
94,0.16931234886528265,0.04951758146087077,0.516462525738192,0.9620220810408529
95,0.1946140721082179,0.05676593082053028,0.34629199553608514,0.9675244621135008
96,0.16751324848854177,0.048773698598902786,0.3859615848944683,0.9565483506505909
97,0.20075485116808972,0.056610006492876924,0.32911887473708407,0.9578154752339885
98,0.10580894502035126,0.05108595117851165,0.7014207269072162,0.9687334067867671
99,0.1187151613066212,0.05345159114360331,0.5632764353579512,0.9655020823477635
