,"MSE(GT,blurred)","MSE(Res*K, blurred)","SSIM(GT,blurred)","SSIM(Res*K, blurred)"
36,0.008758232817462498,0.000992611529101089,0.5467354762924722,0.9750531346836873
37,0.010792390556102162,0.0006488127440069315,0.602406632374315,0.9845878566806673
38,0.03017067982760678,0.0005245879547477285,0.19735508597744233,0.9467024055418727
39,0.020788413672473548,0.0018641371717626526,0.6307854392715719,0.9937532437871626
40,0.01450059411550267,0.0005127376250449763,0.5057320466262566,0.9671938036793248
41,0.02099381797698075,0.0005547011840029204,0.4354650950627562,0.9849605619507142
42,0.041632759755549475,0.0006559074770229503,0.29103241989905304,0.9542451297160203
43,0.014631993604763327,0.00022545551258658456,0.5529079599885582,0.9922697590067555
44,0.02633651778978594,0.0007595221378911872,0.4338135774290629,0.9486771846494977
45,0.019181711172403238,0.0005943921390276294,0.6429644602584867,0.9598696341858621
46,0.00429297292752721,0.000785862448115464,0.7846249285621704,0.854589459203867
47,0.006413438346546037,0.00040722334882762316,0.7047440063829947,0.9806480507689185
48,0.016081153265304494,0.00040688261468734205,0.6062770524147159,0.9570761902011158
49,0.01571015983280028,0.00032729288146933553,0.36500695311474696,0.962212567588319
50,0.02471309631179301,0.00041911568052809293,0.5336832396237392,0.9490706041621654
51,0.012272548041480631,0.0006106364157050173,0.5566512140866035,0.9670015259533334
52,0.009866956310225395,0.001318569332866228,0.7314186572638564,0.9796415507354795
53,0.02090910483165813,0.0005331016189329573,0.35877425608067576,0.9942124364757843
54,0.019326862267696213,0.0006972524194766799,0.3907514641654218,0.9899788862209904
55,0.00616750109911677,0.0004955704971355751,0.7661647105987738,0.9876343233811896
56,0.03511506880502974,0.0004430932921188538,0.28755130611963686,0.9872152194912283
57,0.011869029114541466,0.0006331214706044835,0.7017674697153611,0.966618748089593
58,0.016434688560825424,0.0008424047304224525,0.5542292090003871,0.9501269979822264
59,0.006573711360462204,0.0008929932285920326,0.7309041130260732,0.9782529973973744
60,0.03329456513274728,0.00047131058881833416,0.23472272589166068,0.9615161472294957
61,0.02274729041737964,0.0005237557963107985,0.5419266120143548,0.9549970363015909
62,0.01269836211648255,0.000729950391856004,0.6702750761626076,0.9779979356316459
63,0.01955827185724699,0.0008098887470562905,0.5265788327116254,0.9645343858947174
64,0.014842417236473518,0.000374341331380434,0.495307910791841,0.9545701681032537
65,0.021324724732351745,0.0005653590754900349,0.5468392798117413,0.9742908736044863
66,0.02964897466025864,0.0005252138888085128,0.49048298753385955,0.9852602968924714
67,0.023449565799699132,0.0004540622958077451,0.5530585593987378,0.9862461722044343
68,0.018411364641717984,0.0009288332523344776,0.6499302155867184,0.9875711517478019
69,0.01467479399061443,0.0005231301066452194,0.6203334263126091,0.9669173666249918
70,0.010545975578627922,0.000574153416034119,0.629338421003159,0.9915856781269224
71,0.01183754166905656,0.0008544799455441724,0.8054971491639549,0.9518523063777984
72,0.02478511894870656,0.00025103541134370236,0.44088687736445265,0.9668300423167752
73,0.01988670679517806,0.0003879540450514608,0.5431721324965918,0.9837786169780944
74,0.011020563455484777,0.0006380428254662521,0.5853550243660236,0.9697667644949305
75,0.01108811822323735,0.001620510959297053,0.829133025812829,0.980111023769105
76,0.006062592888315431,0.0009016297625869232,0.8178744689216285,0.9732248835190732
77,0.02336287271745497,0.0005644131463353399,0.4722349368246765,0.9676429300827838
78,0.016181486488647246,0.0005299558494591226,0.5052558146593626,0.981528016625216
79,0.025425005283477846,0.00029323609130855956,0.3266960530900439,0.9593654098335646
80,0.005838060488901108,0.0007816824555850452,0.8188419606698812,0.9763444006450032
81,0.01611108798536349,0.00053253035330147,0.4579300845424231,0.9819181175488844
82,0.033815718861704744,0.0005565625112716906,0.2637384270487839,0.9472924462232509
83,0.006220518112831166,0.0007463950610030542,0.7004602689986811,0.979319468473173
84,0.013068450900047213,0.0005641106332581893,0.5759565636936488,0.967680756096423
85,0.017141997236912267,0.00044560101311692856,0.5841562049888519,0.9474702072416081
86,0.01788935409995004,0.00028643497876919684,0.5480056002203573,0.9695526008442878
87,0.0159535025829177,0.0008343102520083709,0.547882277169046,0.947352790489326
88,0.01681178960138209,0.0012384858918653239,0.5881862107213255,0.9858728542860936
89,0.007682237511366861,0.0007551245868292882,0.7095723061664454,0.9713400009967675
90,0.015409099283158284,0.0005598135360871207,0.6303629570847445,0.972541145362875
91,0.029811648290742808,0.0005918430091806344,0.36161519887626276,0.965718490472542
92,0.009864151422516175,0.0010978084435337508,0.7026513557940902,0.9633401385449046
93,0.022029476427994382,0.0005846729689281352,0.5808406099992997,0.9501338838388063
94,0.026059970969010006,0.0007856818791730458,0.5153476059303124,0.9671624754643783
95,0.048540780035854714,0.0005933184916380735,0.29860643973789525,0.9749542639242238
96,0.02517358097382985,0.00046709117324688607,0.39996250447579634,0.9557539987884232
97,0.02908198910586308,0.0004313872043217751,0.3997910839860153,0.9825557426371644
98,0.00681526492354488,0.0006339266292390547,0.7020140673267219,0.9496840208657601
99,0.017317946048461118,0.0003917748388844848,0.5323065066759548,0.990182628050243
